SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1297,9511.2163,-4163.78212,0,129,6.533534884,0.1741,0.06598
1249,9498.4,-3569.36,0,120,4.6775,0.2265,0.066
1228,9490.75,-3523.36,0,132,8.141575758,0.17421,0.06606
1127,9466.09235,-3958.85212,0,124,8.265443548,0.17159,0.06618
459,8750.4,-3355,0,94,5.965957447,0.1009,0.0666
708,9309.7,-3894.12,0,126,5.872619048,0.17203,0.06676
1195,9484.8,-3554.64,0,102,14.37137255,0.1435,0.0674
543,8867.7,-3274.04,0,45,17.54722222,0.15675,0.0675
535,8854.1,-3302.56,0,112,4.087901786,0.2485,0.0678
1183,9481.6125,-4124.15312,0,132,3.194,0.1808,0.06842
545,8870.25,-3815,0,124,5.224677419,0.20121,0.06862
665,9268.9,-3917.12,0,137,7.503138686,0.18051,0.06898
528,8831.15,-3247.36,0,110,2.877272727,0.182,0.069
955,9415.47655,-4007.0914,0,131,7.993885496,0.18076,0.06912
1149,9473.5579,-4015.56736,0,134,5.922350746,0.1834,0.06924
931,9407.1797,-3977.5732,0,134,9.13088806,0.1834,0.06924
1148,9473.01985,-3949.46812,0,132,4.727916667,0.18207,0.06954
982,9422.6888,-4017.84988,0,132,8.745893939,0.18207,0.06954
669,9275.7,-3921.72,0,130,7.532307692,0.17065,0.06965
249,8452.05,-3240,0,133,7.169097744,0.27585,0.06965
135,8259.95,-3745.08,0,135,1.645185185,0.106,0.06975
752,9329.25,-3921.72,0,135,7.942814815,0.1818,0.06975
895,9389.0033,-3942.12468,0,133,3.552105263,0.18338,0.06996
84,8214.6654,-4100.38492,0,130,5.978461538,0.159,0.07
1122,9465.131,-4012.30412,0,136,6.521551471,0.186,0.07006
1020,9431.88155,-4025.52636,0,139,9.648255396,0.15964,0.07013
854,9370.48775,-4116.62016,0,134,9.438723881,0.18469,0.07038
992,9426.14065,-3972.3752,0,137,5.933390511,0.1873,0.07047
790,9344.3885,-4121.1346,0,137,12.18005109,0.1873,0.07047
876,9380.5645,-3933.52176,0,135,6.251481481,0.186,0.0708
951,9414.25,-3515.08,0,136,9.223235294,0.18483,0.07086
728,9320.99225,-4116.33036,0,138,11.46849275,0.1886,0.07088
237,8439.3,-3742.32,0,85,16.08,0.2245,0.071
887,9384.8383,-3925.86644,0,139,5.014758993,0.1899,0.07129
1098,9455.48945,-3928.13608,0,139,7.668100719,0.1899,0.07129
1248,9498.4,-3739.56,0,138,4.320217391,0.18739,0.07168
736,9324.15,-3926.32,0,138,4.882898551,0.18739,0.07168
1166,9477.15,-3727.6,0,139,7.456834532,0.18867,0.07209
555,8884.7,-3302.56,0,74,11.20310811,0.1134,0.0725
1198,9485.65,-3728.52,0,140,8.206928571,0.18995,0.0725
434,8726.6,-3249.2,0,100,5.664,0.2,0.073
430,8724.05,-3369.72,0,71,4.849014085,0.19335,0.0734
217,8399.35,-3424,0,130,3.593846154,0.1805,0.0745
800,9347.20795,-3999.61456,0,140,5.7185,0.19565,0.07455
516,8809.9,-3889.52,0,95,8.120526316,0.203,0.07525
445,8735.1,-3370.64,0,110,9.442727273,0.242,0.077
504,8787.8,-3268.52,0,85,10.23117647,0.152,0.07725
536,8856.65,-3163.64,0,80,4.5075,0.143,0.078
499,8777.6,-3227.12,0,60,9.086666667,0.21,0.078
197,8372.15,-3977.84,0,110,2.425454545,0.20465,0.07845
223,8407,-3205.04,0,83,7.249216867,0.13786,0.07848
567,8959.7703,-3414.72732,0,70,9.751428571,0.2325,0.0805
558,8895.98205,-3675.14344,0,127,12.54275591,0.22216,0.080585
556,8886.4,-3503.12,0,123,4.548943089,0.11745,0.08065
171,8288.85,-3274.96,0,90,6.408888889,0.1675,0.081
386,8653.5,-3315.44,0,53,17.56037736,0.1415,0.08125
340,8585.5,-3607.08,0,70,9.192857143,0.1635,0.085
503,8786.95,-3200.44,0,101,9.973663366,0.2039,0.086
540,8864.3,-3167.32,0,110,5.832727273,0.199,0.0865
498,8776.75,-3157.2,0,70,9.862857143,0.2115,0.0865
1215,9488.2,-3701.84,0,114,12.87236842,0.31305,0.0878
428,8723.2,-3245.52,0,100,5.553,0.135,0.088
598,9058.1,-3926.32,0,99,16.18181818,0.15493,0.08814
647,9233.2,-3547.28,0,80,2.08875,0.15385,0.0892
319,8540.45,-3310.84,0,70,10.57285714,0.1435,0.09
320,8545.55,-3711.96,0,120,7.166666667,0.4,0.091
1206,9486.5,-3705.52,0,137,11.75145985,0.3478,0.09235
287,8506.45,-3640.2,0,90,7.878888889,0.1935,0.093
448,8738.5,-3378,0,136,5.269411765,0.26315,0.09555
513,8805.65,-3213.32,0,94,10.15531915,0.1931,0.1022
